#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.909190	       0.386962	      143057662	              0	              0	      140909581	          10000	          10000	           2766	            267	              0	              0
# FOUND (7127,6531)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.199488	       0.083103	       30651984	              0	              0	       28771509	          10000	          10000	            282	              5	              0	              0
# FOUND (1345,896)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.230388	       0.098532	       45502076	              0	              0	       28623260	          10000	          10000	           2583	           6223	              0	              0
# FOUND (1554,1209)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.269431	       0.114965	       49253850	              0	              0	       45297487	          10000	          10000	            598	           6357	              0	              0
# FOUND (5672,1793)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.976975	       0.415566	      132634312	              0	              0	      131481912	          10000	          10000	           2939	             96	              0	              0
# FOUND (6578,9665)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.738696	       0.316825	      129016952	              0	              0	      125444539	          10000	          10000	            998	           2655	              0	              0
# FOUND (8295,992)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.656962	       0.281997	      115348832	              0	              0	      107265013	          10000	          10000	           3364	           2121	              0	              0
# FOUND (6293,1756)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.605514	       0.264720	      106277946	              0	              0	      103770237	          10000	          10000	            821	           2582	              0	              0
# FOUND (6824,4007)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.152887	       0.066197	       31034610	              0	              0	       28769749	          10000	          10000	           1612	           1192	              0	              0
# FOUND (1504,3707)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.770441	       0.332306	      122746002	              0	              0	      120724915	          10000	          10000	           1777	            945	              0	              0
# FOUND (6553,7945)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.153795	       0.066041	       28674352	              0	              0	       27012157	          10000	          10000	            700	           1794	              0	              0
# FOUND (1544,3372)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.114640	       0.049090	       21330690	              0	              0	       18236501	          10000	          10000	           2273	           1274	              0	              0
# FOUND (867,4846)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.379289	       0.162837	       69178052	              0	              0	       64107050	          10000	          10000	            868	           4965	              0	              0
# FOUND (5861,2027)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.610997	       0.266990	      113593210	              0	              0	      111575176	          10000	          10000	            538	           3581	              0	              0
# FOUND (8532,3130)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       1.120749	       0.481741	      180742676	              0	              0	      178233597	          10000	          10000	            283	            714	              0	              0
# FOUND (9460,7238)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.453853	       0.197243	       75613902	              0	              0	       74131955	          10000	          10000	             65	           2360	              0	              0
# FOUND (4753,7330)
